鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中正區,房地(土地+建物),忠孝東路一段８３號十三樓,11.56,都市：其他:第三種商業區。,,,1100501,土地2建物1車位0,十三層,二十五層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0781230,162.79,4,2,2,有,有,40800000,250630,,0.0,0,其他增建；,RPRQMLRKOHGGFBA08EA,113.22,5.06,9.11,有,
中正區,房地(土地+建物),衡陽路８５號二樓,7.54,都市：其他:第四種商業區。,,,1100324,土地1建物1車位0,二層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0831212,96.97999999999999,0,1,1,有,有,13500000,139204,,0.0,0,陽台外推；,RPSQMLRKOHGGFBA18EA,42.89,0.0,13.08,有,
萬華區,房地(土地+建物)+車位,西藏路１０７之２號,26.81,都市：其他:第三之一種住宅區。,,,1100512,土地2建物1車位1,一層,十五層,住宅大樓(11層含以上有電梯),一般零售業甲組,鋼筋混凝土造,1000908,125.22,0,1,1,有,有,44200000,352979,坡道平面,0.0,0,,RPUQMLRKOHGGFBA38EA,75.97,0.0,0.0,有,
中山區,房地(土地+建物),錦州街４４９號四樓,30.25,都市：其他:第三種住宅區。,,,1100412,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660713,113.35,5,3,3,有,無,22880000,201853,,0.0,0,,RPUQMLOLNHGGFCA18EA,102.57,0.0,10.78,無,022
內湖區,房地(土地+建物)+車位,新豐街９０號六樓,19.99,都市：其他:住宅區。,,,1100521,土地1建物1車位1,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040522,121.67999999999999,1,1,1,有,有,18500000,214679,坡道平面,47.15,2500000,,RPORMLQKOHGGFCA87EA,40.27,1.63,3.26,有,023
內湖區,房地(土地+建物)+車位,南京東路六段２５９號九樓之１,49.92,都市：其他:住宅區。,,,1100517,土地1建物1車位1,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011226,328.3,4,2,2,有,有,80110000,266209,坡道平面,38.64,3000000,,RPQRMLQKOHGGFCA08EA,169.74,9.88,17.38,有,024
內湖區,房地(土地+建物),內湖路一段４１１巷３號三樓,37.24,都市：其他:第三種住宅區。,,,1100510,土地4建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670707,93.12,3,2,2,有,無,16900000,181486,,0.0,0,,RPRRMLQKOHGGFCA18EA,85.92,0.0,7.2,無,025
內湖區,土地,碧山段二小段28-1地號,26177.76,都市：其他:保護區。,,,1100608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16000000,611,,0.0,0,,RPPNMLRKOHGGFCA67EA,0.0,0.0,0.0,無,026
內湖區,房地(土地+建物),成功路四段３２４巷１弄１５號,30.86,都市：其他:第三之一種住宅區及第三種住宅區 但是否在第二種住宅區(應依建築線或俟地籍測量分割後，再確定)。,,,1100605,土地1建物3車位0,一層,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0730213,154.75,3,2,2,有,有,16000000,103393,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXOMLRKOHGGFCA58EA,128.21,10.91,0.0,無,
內湖區,房地(土地+建物)+車位,陽光街６１號五樓,33.65,都市：其他:第二種住宅區。,,,1100516,土地2建物1車位2,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0990705,213.7,4,2,2,有,有,36200000,191740,升降機械,37.42,2400000,,RPTPMLRKOHGGFCA28EA,103.71,8.09,12.94,有,
內湖區,房地(土地+建物),星雲街１５巷１８弄２７號三樓,24.1,都市：其他:第三種住宅區。,,,1100502,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720208,94.44999999999999,3,2,1,有,無,16800000,177872,,0.0,0,,RPUPMLRKOHGGFCA38EA,73.76,0.0,11.15,無,027
